CUSTOMER_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE,COUNTRY
CUST002,Timothy,Dixon,jwright@example.net,(828)781-7900x18410,GN
CUST003,Aimee,Lee,laura48@example.com,(418)737-9574x5394,AM
CUST004,Douglas,Trujillo,clee@example.com,9095740629,SO
CUST005,Michael,Jones,rporter@example.org,+1-411-462-4154x750,NE
CUST006,Wyatt,Rivera,dukelisa@example.net,+1-362-840-2312x2132,SL
CUST007,Charles,Martin,ykidd@example.net,728-929-4852,KZ
CUST008,Lisa,Solomon,brittany50@example.net,8825010854,TN
CUST009,Kenneth,Richards,arnoldkrystal@example.org,704.315.5143x66144,KW
CUST010,Jennifer,Hatfield,jacob00@example.org,(395)477-0520x89989,HR
CUST011,David,Solis,taylor72@example.com,2918451777,AE
CUST012,Spencer,Rush,ginaelliott@example.net,458.553.3730,UA
CUST013,Kathleen,Adams,masondavid@example.net,001-218-562-1866x53256,EE
CUST014,Michelle,Osborn,kimberlyhansen@example.com,674-507-6203,BF
CUST015,Steve,Thomas,lauraaguirre@example.net,638.473.9168x33279,EE
CUST016,Frank,Simon,pburke@example.org,825.498.9366x95675,US
CUST017,Randy,Cook,pcherry@example.org,(221)596-2093,BG
CUST018,Hector,Savage,odomtina@example.org,631-713-4393,PT
CUST019,Christine,Haney,kellyrodriguez@example.com,731.942.8496x72046,NP
CUST020,Alexandra,Bryant,jacob42@example.org,427.786.1369,KG
CUST021,David,Anderson,erin83@example.com,(675)551-7781,MK
CUST022,Laurie,Mendez,bfisher@example.net,678.730.0196x7852,TV
CUST023,Sarah,Hernandez,brandon23@example.com,438.698.5078x92013,DZ
CUST024,Randy,Hardy,piercesharon@example.com,001-316-839-0939,PT
CUST025,Dana,Gonzales,james67@example.net,+1-404-450-9030x686,TM
CUST026,Brandon,Morton,craig49@example.com,001-966-933-7720x7259,TR
CUST027,Andrea,Davis,josephdavis@example.net,319.680.6968x6417,CR
CUST028,Christine,Hull,marymichael@example.com,6019935974,CM
CUST029,Alan,Farley,beckallison@example.org,+1-609-648-3795,KM
CUST030,Russell,Perez,rhonda16@example.com,+1-209-389-0465,SC
CUST031,Danny,Butler,zjohnson@example.net,+1-550-856-7960x0523,RS
CUST032,Beverly,Woodward,daniel18@example.net,691.214.4809x389,TH
CUST033,Benjamin,Benson,kelly01@example.net,(210)740-4710x94771,AF
CUST034,Bradley,Hamilton,markbriggs@example.org,771-660-1569,OM
CUST035,Amanda,Davis,michelle04@example.com,503-772-2921x542,GB
CUST036,Erica,Franco,jennifer72@example.net,872.460.6492x30910,UY
CUST037,Donald,Baker,tiffany17@example.net,278-446-4075x9726,BB
CUST038,Christopher,Wilson,richardanderson@example.net,+1-592-879-7843,MN
CUST039,Dennis,Bell,alyssabrown@example.org,976.473.0058x723,AM
CUST040,Dale,Bruce,cynthia44@example.org,779-921-2482x749,AD
CUST041,Ellen,Clark,deborah72@example.org,(960)984-5899x379,TO
CUST042,Bradley,Walter,veronicagonzalez@example.net,205.453.0757,TZ
CUST043,Cindy,Coleman,yolandavalentine@example.org,663-266-0106,SR
CUST044,Crystal,Adams,vrivers@example.net,518.721.8235,IL
CUST045,Heather,Cross,fthompson@example.com,9337691026,AM
CUST046,Edwin,Williams,shellygreen@example.net,929-335-1639x894,EG
CUST047,Diana,Harris,sanchezjennifer@example.net,516-362-2669x883,CL
CUST048,Michelle,Mata,cynthiasaunders@example.com,+1-404-860-2101x38603,VN
CUST049,Mike,Johnson,aortiz@example.net,510-650-3232x3141,SB
CUST050,Tyrone,Mccall,edward48@example.net,001-538-636-7534,BN
CUST051,Todd,Delacruz,debrahoward@example.com,817-410-4743x4577,GQ
CUST052,Heather,Andrews,contrerasandrew@example.net,926-803-4754x8250,NL
CUST053,Eric,Burch,abbottdonna@example.net,(471)964-6699,SB
CUST054,Charles,Lopez,john69@example.com,470.539.4175x71720,US
CUST055,Nichole,Shaw,bradleymartinez@example.net,822-307-1766x1019,CH
CUST056,Jennifer,Rogers,douglasharrington@example.com,929-311-2076,CZ
CUST057,Aaron,Lopez,fosteralyssa@example.net,001-465-361-8839x3641,PY
CUST058,Ebony,Garcia,smithheather@example.net,001-734-685-5265,RO
CUST059,Dan,Todd,reevescalvin@example.net,3468057280,PA
CUST060,Catherine,Morris,arthurfaulkner@example.com,(338)913-2709x72992,CR
CUST061,Nathan,Hoover,setherickson@example.net,789.385.9018x9009,GN
CUST062,Jessica,Mcdaniel,ewilson@example.org,806-456-7790x10939,MM
CUST063,Krystal,Allen,joyce95@example.org,+1-495-864-1229,CN
CUST064,Joseph,Mata,anita05@example.net,001-211-896-4650x6203,ML
CUST065,Luis,Brown,michaelibarra@example.net,849-338-3515x1499,SN
CUST066,Teresa,James,torresryan@example.net,+1-786-228-7414x169,KZ
CUST067,Miguel,Harris,tbernard@example.com,546-307-2455,VN
CUST068,Sherri,Pollard,scott15@example.org,(679)362-6670,SK
CUST069,Gina,Perez,kkoch@example.com,448.287.1860x79654,BS
CUST070,Brandon,Shah,hayesjason@example.com,001-564-789-2763,AF
CUST071,Matthew,Khan,rmendez@example.org,001-329-955-2130x373,BO
CUST072,Gina,Rich,mroberts@example.net,+1-345-867-7708x934,HU
CUST073,Ana,Allen,mcurry@example.com,(657)274-3692x76212,ES
CUST074,David,Dennis,salaskathleen@example.net,(933)477-7674,PE
CUST075,Kara,Rich,gibsonheather@example.org,(827)926-2220x1811,KG
CUST076,Lisa,Leonard,pgray@example.net,(713)564-3723,VC
CUST077,Melissa,Morris,dalvarado@example.net,(800)316-4805x62835,QA
CUST078,Stephanie,Cabrera,armstrongchelsea@example.com,225-585-7370x5073,GQ
CUST079,Kaitlyn,Matthews,greenejessica@example.com,670.552.2926x7474,KI
CUST080,Jeffrey,Moore,ramosjulie@example.net,720-965-2167x5814,SY
CUST081,Bradley,Williams,zjackson@example.com,+1-977-678-3557x5369,AR
CUST082,Rebecca,Harris,leegabriel@example.org,001-671-742-5865x9975,HU
CUST083,Alexander,Smith,aaronrussell@example.net,350-288-2899,KR
CUST084,Kristina,Lewis,calderontiffany@example.org,+1-351-952-5096x4497,UG
CUST085,Brian,James,jacobzamora@example.org,378-778-3888x08202,CR
CUST086,David,Williams,carolyn18@example.org,(716)769-2601,AO
CUST087,Joy,Ball,kevinjones@example.net,919-325-5411x288,IR
CUST088,Amanda,Stokes,seanleon@example.com,+1-469-244-8293x9933,SA
CUST089,Sharon,Wilson,valerie05@example.net,382.408.3710,BG
CUST090,Daniel,Gray,cameron78@example.com,997.565.1436,NR
CUST091,Jessica,Butler,unelson@example.com,587.836.2140,AG
CUST092,Monique,Smith,yprice@example.net,+1-871-795-6731x267,NI
CUST093,Paul,Baldwin,juliesmith@example.com,+1-544-342-6033,SA
CUST094,Nancy,Boyd,oneillblake@example.com,(239)675-1398,AU
CUST095,William,Barton,bmyers@example.org,368.646.2160,BS
CUST096,Evan,Martinez,cjones@example.org,939.811.4221x56219,SI
CUST097,David,Griffin,stephen99@example.com,001-997-544-2571x4342,GR
CUST098,Lisa,White,christian50@example.org,440-360-8090x88758,DZ
CUST099,Renee,Gray,huntereric@example.org,+1-993-623-8903x200,FR
CUST100,Katie,Davis,robert11@example.org,5729810738,MX
customer_id,first_name,last_name,email,phone,country
CUST001,Gregory,Chang,rturner@example.net,(621)252-9764,LA
CUST002,Timothy,Dixon,jwright@example.net,(828)781-7900x18410,GN
CUST003,Aimee,Lee,laura48@example.com,(418)737-9574x5394,AM
CUST004,Douglas,Trujillo,clee@example.com,9095740629,SO
CUST005,Michael,Jones,rporter@example.org,+1-411-462-4154x750,NE
CUST006,Wyatt,Rivera,dukelisa@example.net,+1-362-840-2312x2132,SL
CUST007,Charles,Martin,ykidd@example.net,728-929-4852,KZ
CUST008,Lisa,Solomon,brittany50@example.net,8825010854,TN
CUST009,Kenneth,Richards,arnoldkrystal@example.org,704.315.5143x66144,KW
CUST010,Jennifer,Hatfield,jacob00@example.org,(395)477-0520x89989,HR
CUST011,David,Solis,taylor72@example.com,2918451777,AE
CUST012,Spencer,Rush,ginaelliott@example.net,458.553.3730,UA
CUST013,Kathleen,Adams,masondavid@example.net,001-218-562-1866x53256,EE
CUST014,Michelle,Osborn,kimberlyhansen@example.com,674-507-6203,BF
CUST015,Steve,Thomas,lauraaguirre@example.net,638.473.9168x33279,EE
CUST016,Frank,Simon,pburke@example.org,825.498.9366x95675,US
CUST017,Randy,Cook,pcherry@example.org,(221)596-2093,BG
CUST018,Hector,Savage,odomtina@example.org,631-713-4393,PT
CUST019,Christine,Haney,kellyrodriguez@example.com,731.942.8496x72046,NP
CUST020,Alexandra,Bryant,jacob42@example.org,427.786.1369,KG
CUST021,David,Anderson,erin83@example.com,(675)551-7781,MK
CUST022,Laurie,Mendez,bfisher@example.net,678.730.0196x7852,TV
CUST023,Sarah,Hernandez,brandon23@example.com,438.698.5078x92013,DZ
CUST024,Randy,Hardy,piercesharon@example.com,001-316-839-0939,PT
CUST025,Dana,Gonzales,james67@example.net,+1-404-450-9030x686,TM
CUST026,Brandon,Morton,craig49@example.com,001-966-933-7720x7259,TR
CUST027,Andrea,Davis,josephdavis@example.net,319.680.6968x6417,CR
CUST028,Christine,Hull,marymichael@example.com,6019935974,CM
